lambda,m,n_x,acceptance_rate_mean,acceptance_rate_std,ess_min_mean,ess_min_std,ess_mean_mean,ess_mean_std,converged_mean,converged_count,mcmc_time_mean,mcmc_time_std,n_forward_evals_mean,efficiency
0.5,3,50,0.0014,0.001,800.0,0.0,800.0,0.0,0.0,144,0.0779,0.0042,8000.0,10269.58
0.5,3,100,0.0014,0.001,800.0,0.0,800.0,0.0,0.0,144,0.0821,0.0213,8000.0,9744.21
0.5,5,50,0.001,0.0002,800.0,0.0,800.0,0.0,0.0,144,0.0797,0.0096,8000.0,10037.64
0.5,5,100,0.001,0.0002,800.0,0.0,800.0,0.0,0.0,144,0.0787,0.0051,8000.0,10165.18
1.0,3,50,0.001,0.0003,800.0,0.0,800.0,0.0,0.0,144,0.0802,0.017,8000.0,9975.06
1.0,3,100,0.001,0.0003,800.0,0.0,800.0,0.0,0.0,144,0.0798,0.0174,8000.0,10025.06
1.0,5,50,0.0009,0.0,800.0,0.0,800.0,0.0,0.0,144,0.0791,0.0066,8000.0,10113.78
1.0,5,100,0.0009,0.0,800.0,0.0,800.0,0.0,0.0,144,0.0805,0.0102,8000.0,9937.89
2.0,3,50,0.001,0.0003,800.0,0.0,800.0,0.0,0.0,144,0.0814,0.0168,8000.0,9828.01
2.0,3,100,0.001,0.0003,800.0,0.0,800.0,0.0,0.0,144,0.0822,0.0209,8000.0,9732.36
2.0,5,50,0.0009,0.0,800.0,0.0,800.0,0.0,0.0,144,0.079,0.0058,8000.0,10126.58
2.0,5,100,0.0009,0.0,800.0,0.0,800.0,0.0,0.0,144,0.0789,0.0057,8000.0,10139.42
